Español,Inglés,Latín,definición
tratado vinculativo,,,
extradición,,,
juicio,,,
juzgar,,,
probable responsable,,,
consulado,,,
responsabilidad penal,,,
causa de exclusión de delito,,,
tentativa,,,
reincidencia,,,
cuonducta típica,,,
conducta antijurídica,,,
conducta culpable,,,
delito instantáneo,,,
delito permanente,,,
delito continuado,,,
homicidio robo,,,
consumación,,,
abandono de incapaz,,,
privación,,,
Delito Federal,,,
Delitos del Fuero Común,,,
lesiones,,,
feminicidio,,,
aborto,,,
abuso sexual,,,
tráfico de menores,,,
acoso sexual ,,,
violación,,,
incesto,,,
robo,,,
fraude,,,
abuso de confianza,,,
extorsión,,,
violencia familiar,,,
violencia de género,,,
incumplimiento de obligaciones de asistencia familiar,,,
corrupción de menores,,,
falsificación,,,
Sujetos del delito,,,
Sujeto activo,,,
Sujeto Pasivo,,,
autor de un delito,,,
Imputabilidad,,,
Inimputabilidad,,,
Excluyente de delito,,,
sentencia ejecutoria,,,
Tribunal,,,
readaptación,,,
resocialización,,,
rehabilitación,,,
reinserción,,,
regenración,,,
delincuente sentenciado,,,
prisión,,,
trabajo a favor de la comundad,,,
prohibición de ir a un lugar determinado,,,
sanciones pecunarias,,,
reparación del daño,,,
decomiso de instrumentos,,,
objetos y productos del delito,,,
smonestación,,,
apercibimiento,,,
colocación de dispositivos de localización y vigilancia,,,
Menores Infractores,,,
conducta tipificada,,,
disposición legal,,,
Ley Nacional del Sistema Integral de Justicia para Adolescentes,,,
Nuevp Sistema de Justicia Penal,,,
Derecho Penal Procesal,,,
procedimiento penal,,,
Sistema Jurídico Mexicano,,,
Código Nacional de Procesamientos Penales,,,
Sistema Penal Acusatorio,,,
Derecho Laboral,,,
Derecho del Trabajo ,,,
consagrar,,,
federalizada(o),,,
facultad,,,
extensiva(o),,,
ilícito,,,
trabajo digno,,,
trabajador,,,
patrón,,,
Poderes de la Unión,,,
Ley Federal de los Trabajadores al Servicio del Estado,,,
contrato de trabajo,,,
condiciones de trabajo,,,
jornada laboral,,,
salario,,,
seguridad social,,,
Relación Laboral,,,
trabajo,,,
retribución,,,
contrato de prestación de servicios profesionales,,,
contrato laboral,,,
servicio subordinado,,,
naturaleza,,,
rescisión,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
